,question,tags
107,Who initiated the conversation about customers data transfer from old to new SPH?,Email
108,When did vineet last contact me ?,Email
109,"""When did I first speak to bestankit ? """,Email
110,When did joseph and my thread with begin?,Email
111,Show me all the emails sent by Ankit in the month of November,Email
112,What was the discussion about qna standup?,Email
113,What was the subject of the last discussion with Chaitanya?,Email
114,what are the different labels under a particular label,Email
115,Who all are on rental agreement the day before?,Email
116,Who are on overview of product the day after ?,Email
117,Are there mails from nathan smith that are present in the spam folder ?,Email
118,When was the latest message received from eric@intel.com ?,Email
119,Who begun the conversation about business operations ?,Email
120,List all the people with whom I had a discussion about scrum ?,Email
121,What did Neerose say in his first email?,Email
122,When was the first discussion about performance review started ?,Email
123,What was the last communication about it declaration with eric?,Email
124,When was the first message received from sophie@hp.com ?,Email
125,Who sent the mail regarding business operations ?,Email
126,What did aaron intend to talk with me ?,Email
127,Are there any mails scheduled to be sent on 8 april 1999 ?,Email
128,form 16 was mailed by whom?,Email
129,What was the summary/subject of the mail received from Tom on 8th Nov ?,Email
130,Show me all emails where the subject contains covid19.,Email
131,what was the subject of the last email sent to Varsha,Email
132,To whom did vineeth send the last email ?,Email
133,Display the mails from aaron evans that do not contain subject,Email
134,Under which category are the mails from jack roberts stored ?,Email
135,Who all contacted me on 6th April ?,Email
136,Are there any mails scheduled to be sent on 05 september 2012 ?,Email
137,What did the initial mail from John doe read ?,Email
138,what is the subject of the last mail received from Deepak,Email
139,Show me the email,Email
140,Show me the mail where angel was talking about customer success journey,Email
141,Show me all the hidden labels,Email
142,When did Jack first send me an email?,Email
143,How long ago did christopher send an email?,Email
144,When did hailey reach me initially ?,Email
145,When was the first email received from John doe ?,Email
146,TO whom did I send an email about Tips for writing news letter ?,Email
147,When did adam and my thread with begin?,Email
148,When was the last email sent to Madhu Parik,Email
149,What was the first message from christopher brown?,Email
150,What was the discussion about business operations ?,Email
151,In which folder can I find sophie's messages ?,Email
152,When did the first discussion between me and nicholas start?,Email
153,What was noah's feedback about covid19 ?,Email
154,list all emails from richa ?,Email
155,form 16 was mailed by ?,Email
156,What was the meeting with julia focused on ?,Email
157,What are the important mails I received from oliver ?,Email
158,Show me all emails focused on bonus.,Email
159,Show me all emails focused on performance review.,Email
160,Who initiated the conversation regarding appreciation ?,Email
161,How many mails have been exchanged between jack and nathan ?,Email
162,When was the last time I had a chat with Jack ?,Email
163,list all emails,Email
164,Show me all the discussions about form 16,Email
165,What was the subject of email sent to me?,Email
166,What did ruby mention about festival ?,Email
167,When was the first email received from becky Austin ?,Email
168,What was donald's motto in his first email ?,Email
169,When did I have a chat with John for the first time ?,Email
170,list of email with richa ?,Email
171,What was the first mail from sophie walker?,Email
172,When did julia ping me for the first time ?,Email
173,What are the mails sent to Shibani in the month of jan 1991,Email
174,How many emails do I have from Kanika Kalia?,Email
175,When did michael ping me for the first time ?,Email
176,When was the first email sent to hailey about appreciation?,Email
177,When did I first reach out to akshay.shitut@cognizer.ai ?,Email
178,When did mitchell and I speak at the very beginning ?,Email
179,When did anthony and my thread begin?,Email
180,Who started the conversation about patents ?,Email
181,When was the latest message received from thomas@deloitte.com ?,Email
182,Show me all the discussions about rental agreement,Email
183,What was the subject of the last discussion with ankit ?,Email
184,What did John communicate in our first chat ?,Email
185,When was the latest message received from eva@deloitte.com ?,Email
186,What did the last email from John Doe read ?,Email
187,what is the subject of the next meeting,Email
188,When did I hear from benjamin@ibm.com initially?,Email
189,Who sent the email about 10/11/2020 ?,Email
190,Where can I find eva johnson's mails ?,Email
191,What time did I get the first message from james mehra ?,Email
192,What was the issue mentioned by Jack in the latest discussion?,Email
193,What was John's motto in his first email ?,Email
194,What does donald say about performance review ?,Email
195,What did Randy Friedman highlight in his last conversation ?,Email
196,What are the labels associated with the mail sent to benjamin ?,Email
197,Display the mails that do not contain subject,Email
198,What time did I get the most recent message from noah ?,Email
199,show me all the emails sent to chaitanya,Email
200,What was the last message sent to dylan?,Email
201,When did I last hear from jacob ?,Email
202,What was the content of the email about Tips for writing a newsletter ?,Email
203,What did the last email to robert Anderson read ?,Email
204,What is deepak's email,Email
205,Who tried to reach me on 7th april ?,Email
206,What was jordan's motto in his first email ?,Email
207,What did aaron highlight in his last conversation ?,Email
208,When did becky send the latest email?,Email
209,When did I hear from jason evans for the first time ?,Email
210,Show me the email without subject sent on 7th november.,Email
211,when was the last mail,Email
212,What date did I receive the first message from John Doe ?,Email
213,What was noah's motto in his last email ?,Email
214,When did the discussion about Genius end ?,Email
215,Show me the mail address of Binesh shakya,Email
216,The conversation about covid19 was directed towards whom ?,Email
217,What did john want to communicate with me ?,Email
218,What did becky want to communicate with me ?,Email
219,What was the subject of the last discussion with bobby ?,Email
220,When did I have a chat with Vinay for the first time ?,Email
221,Who are the cc recepients of the mail sent by richa agarwal?,Email
222,When was the last message received from noah ?,Email
223,When did nicholas connect with me recently?,Email
224,When was the last email received from morgan roberts ?,Email
225,When did I first connect with ruby?,Email
226,Show me all emails where the subject contains scrum.,Email
227,how many mails with richa ?,Email
228,When did I first get in touch with John Doe?,Email
229,Who was the mail about bonus sent to?,Email
230,Who all are on bonus the day after?,Email
231,When did vivian and I first contact each other?,Email
232,When did Vinay Kumar and I first meet ?,Email
233,When was the first email sent to robert about offer letter?,Email
234,Who sent the mail about business operations ?,Email
235,From whom did I receive mails the next day ?,Email
236,What was the subject of the last discussion with anthony ?,Email
237,lis of eamil from richa ?,Email
238,What's nicholas's message for me yesterday ?,Email
239,Show me all emails where the subject contains customer success journey,Email
240,Are there mails from nathan wilson that are present in the spam folder ?,Email
241,What did Padam point out in the first discussion with Rahul and me?,Email
242,What did the initial mail from julia william read ?,Email
243,What is the gist of the conversation with susie ?,Email
244,When did I hear from hailey@adobe.com initially?,Email
245,What did eva state in his mail 7 days ago ?,Email
246,What was the discussion with chaitanya based on?,Email
247,List emails sent to Uday Punj,Email
248,"What did benshakya93@gmail.com send on May 19, 2014?",Email
249,what was the subject of the last email sent to vineeth,Email
250,When was the latest message received from john@doe.com ?,Email
251,Names of the people who participated in the discussion about Kabul University attack,Email
252,last 4 emails from richa,Email
253,Show me the emails which have the same attached files,Email
254,When was the first email sent to Tom about patents?,Email
255,how many emails did i receive from kanika kalia,Email
256,List the last 5 emails from jeswil,Email
257,Show me the important mails regarding form 16 release,Email
258,When was the last time I got a mail from John Doe ?,Email
259,When was the last time Padam had a conversation about EOD report with Rahul and me?,Email
260,What did ryan write to me regarding appreciation ?,Email
261,When did jacob reach me initially ?,Email
262,What are the different mail address used by Rahul ?,Email
263,How long ago did michael send an email?,Email
264,How many emails do I have to check for tomorrow?,Email
265,when did i send email to richa ?,Email
266,What was the meeting with michael and kevin focused on ?,Email
267,Under which category are the mails from brannan stored ?,Email
268,How many emails have details regarding the rental agreement?,Email
269,When was the last message received from bobby ?,Email
270,What was the first communication from michael?,Email
271,When was the time I heard from theodore@qualcomm.com ?,Email
272,Who sent a message about customer success journey ?,Email
273,list all the meetings with vineeth,Email
274,When was the first email sent by mitchell walker?,Email
275,How many emails do I from Sagar Kharche?,Email
276,Last mail from ankit.bhangar,Email
277,When did john reach me initially ?,Email
278,What was the last message sent by Padam Prajapati?,Email
279,What was the meeting with george and andrew focused on ?,Email
280,Show me all emails where the subject contains customer success journey.,Email
281,When was the last time vivian and I had a chat?,Email
282,Show me all the emails sent by peter in the month of aug,Email
283,When did christopher and I collaborate for the first time ?,Email
284,Show me all emails sent in 1991 regarding payslip.,Email
285,Show me all the mails sent to eric in december 2008,Email
286,When did hailey and I talk last ?,Email
287,What is the summary of the conversation with Chaitanya ?,Email
288,What is the gist of the conversation with benjamin ?,Email
289,When did jordan write to me for the first time ?,Email
290,Who are the recepients of the forwarded message from Tom?,Email
291,Show me all the conversations regarding qna standup discussed in december,Email
292,How many mails have I received from thomas@adobe.ai ?,Email
293,Who all contacted me on 3th nov ?,Email
294,list all emails with richa ?,Email
295,When did I receive the the initial mail from donald@kpmg.com ?,Email
296,What was the conversation with dylan based on ?,Email
297,When did I recently reach out to ankit@tqid.com?,Email
298,Who all contacted me on 04th feb ?,Email
299,when did i last hear from vineeth,Email
300,What did mitchell mention about soc ?,Email
301,What did Bnes want to communicate with me ?,Email
302,Show me all the conversations regarding Care centers discussed in April,Email
303,What is monica's email ?,Email
304,When did nathan and I have a chat for the first time?,Email
305,From whom did I hear the day after ?,Email
306,emails with jeswil ?,Email
307,Who initiated the conversation regarding Baron arklov ?,Email
308,When did I end the conversation with nathan taylor ?,Email
309,Who sent the mail regarding appreciation ?,Email
310,Show me Ankit's email from his official address,Email
311,How many mails are scheduled to be sent the day before ?,Email
312,When was the first message about 'Tax deduction' sent to susie ?,Email
313,What was Sanjay's message received on 13th May ?,Email
314,Where are the mails received from thomas stored ?,Email
315,When was the last email received from Maithili ?,Email
316,How do I connect with Raksha through e-mail ?,Email
317,does the spam contain any messages from james ?,Email
318,When did I last receive an email from Netflix?,Email
319,list all the email from ankit bhangar,Email
320,How many mails have I received from eric@deloitte.ai ?,Email
321,The conversation about bonus was directed towards whom ?,Email
322,When was the last email exchanged between michael and anthony ?,Email
323,When did jack and I first contact each other?,Email
324,When did nicholas Porter and I first speak?,Email
325,When did the conversation about festival start ?,Email
326,When did Sabin Shreshta reach me initially ?,Email
327,When did the discussion about business operations end ?,Email
328,From whom did I get the message about (a topic) ?,Email
329,Who attended the Genius disucssion ?,Email
330,when did i send last email to vinay.sharma2216@gmail.com ?,Email
331,Who was the mail about business strategy sent to?,Email
332,what is the subject of the meeting with vineeth,Email
333,When did I first reach out to richa?,Email
334,What was the first communication from jason?,Email
335,When did I have a chat with John recently ?,Email
336,How many mails have been exchanged between John and Tom ?,Email
337,When was the first email sent by vivian evans?,Email
338,Show me my recent mail,Email
339,How many emails do i have with Vinay Kumar?,Email
340,how many emails did i receive from ankit bhangar,Email
341,What is subject of last email?,Email
342,What is the summary of the conversation with jordan ?,Email
343,When did michael write to me last ?,Email
344,appreciation was mailed by whom ?,Email
345,When was the last time I connected with ryan?,Email
346,When did joseph and my thread begin?,Email
347,What was the first mail from John Doe?,Email
348,What was the subject of the last discussion with john ?,Email
349,When did I hear from john@doe.com initially?,Email
350,when was the last email sent to vinghfjeeth,Email
351,What was the subject of the last discussion with christopher ?,Email
352,does the spam contain any messages from bobby ?,Email
353,What are the mails sent to Shibani in the month of january 2012,Email
354,What did dylan's message read ?,Email
355,When did hailey and I collaborate for the first time ?,Email
356,What was the subject of the last discussion with kevin ?,Email
357,What was eva's feedback about bonus ?,Email
358,Who sent the mail regarding scrum ?,Email
359,When did sophie roberts send the latest email?,Email
360,What was the discussion about with jordan ?,Email
361,when did i last receive a mail from Ankit,Email
362,When did I hear from andrew@qualcomm.com initially?,Email
363,Which email did ryan send me regarding the presentation?,Email
364,From whom did I receive the last mail ?,Email
365,When was the first email received from valentina roberts ?,Email
366,When was the last email exchanged between peter and ruby ?,Email
367,What are the labels associated with the mail sent by benjamin ?,Email
368,What did sophie mention in the last discussion ?,Email
369,What did eva tell me in his mail the day after ?,Email
370,what is the latest email from chaitanya,Email
371,Show me all emails sent in 2013 regarding festival.,Email
372,Show me all the discussions about performance review,Email
373,What did the last email from valentina walker read ?,Email
374,What was the last mail sent by padam@tqid.com.np ?,Email
375,Who contacted me on 6th may regarding qna standup ?,Email
376,When did Officevibe survey arrive?,Email
377,Which email did jacob send me regarding the presentation?,Email
378,When was the latest message delivered to me from nicholas?,Email
379,What was the summary/subject of the mail received from robert on 9th april ?,Email
380,On what date did I first send the email regarding performance review?,Email
381,list of all mail with richa ?,Email
382,When did I hear from angel brown for the first time ?,Email
383,When did eric and my thread begin?,Email
384,when was the last email sent to Bryan,Email
385,When did I recently reach out to robert brown ?,Email
386,what vinay gupta's email,Email
387,When was the last message received from andrew ?,Email
388,How long ago did john send an email?,Email
389,Who started the conversation about business operations ?,Email
390,Show me mails from michael that are in the trash,Email
391,What are the labels associated with the mail sent by ruby ?,Email
392,Who sent the mail about overview of product ?,Email
393,How many emails have I received from Vinay Gupta?,Email
394,what was the last email,Email
395,When was the last time anthony and I had a chat?,Email
396,What are my new emails for the day ?,Email
397,When did oliver and my thread with begin?,Email
398,Show me the email without subject sent on 9th december.,Email
399,emails with flu gas condensation,Email
400,Who sent the mail regarding performance review ?,Email
401,Who sent a message about covid19 ?,Email
402,When did the most recent discussion between michael and me happen ?,Email
403,Show my email sent to Nishu about Sample PRD,Email
404,When did james and I talk last ?,Email
405,When was the first message received from ruby Porter ?,Email
406,When did mitchell and I have a chat for the first time?,Email
407,When did I receive the the initial mail from aaron@pwc.com ?,Email
408,What was the discussion with thomas based on ?,Email
409,List emails from Roman Errigo,Email
410,Which email was sent on 7th august without subject ?,Email
411,from whom did i receive the first email,Email
412,Important mails received from susie jones in aug 1997,Email
413,list of all emails with richa ?,Email
414,What time did I get the most recent message from morgan ?,Email
415,Who was the mail about form 16 sent to?,Email
416,What was the meeting with nicholas focused on ?,Email
417,What did nicholas tell me in his mail the day before ?,Email
418,When did jason and I start the conversation?,Email
419,Where can I find jack william's mails ?,Email
420,What did the initial mail from susie brown read ?,Email
421,Who did I hear from 7 days ago ?,Email
422,When did I last connect with jacob?,Email
423,Show me all the emails sent by dylan in the month of nov,Email
424,When did ankit and I first meet ?,Email
425,How many emails have I received from Ashok Bhangar?,Email
426,What did the initial mail from vivian roberts read ?,Email
427,When did noah and me initially contact each other?,Email
428,When was the last mail received from benjamin ?,Email
429,Who tried to reach me on 5th November ?,Email
430,When was the first email sent to theodore about performance review ?,Email
431,What did Chaitanya mention in her email about Welcome ?,Email
432,When did ankit last contact me ?,Email
433,What was Sanjay's motto in his first email ?,Email
434,What is today email,Email
435,Show me all emails where the subject contains bonus,Email
436,What did jacob acknowledge in his last message ?,Email
437,When was the last email exchanged between Tom and John ?,Email
438,When was the first email received from Maithili?,Email
439,how many mails with richa ?,Email
440,Was there any event invite in the mail by Tom ?,Email
441,Rental agreement was mailed by whom?,Email
442,What was the issue mentioned by nicholas in the latest discussion?,Email
443,What idea did peter mention in our latest conversation?,Email
444,From whom did I receive the first email ?,Email
445,how many emial do i have with ankit ?,Email
446,What was the discussion about with ruby ?,Email
447,cognizer's apps standup meeting mails ?,Email
448,How much was the price of gold in Ankit's email?,Email
449,How many mails are marked unread ?,Email
450,How long ago did michael send an email?,Email
451,When did the discussion about business operations start ?,Email
452,When was the last email exchanged between christopher and john ?,Email
453,What is the last email sent to bestankit@gmail.com?,Email
454,what is my latest unread mail,Email
455,Who begun the conversation about patents ?,Email
456,When did I first reach out to richa ?,Email
457,When did angel and me collaborate for the first time ?,Email
458,When did Satish send me his last email?,Email
459,What did the first mail from Bhupendra read?,Email
460,When was the last email sent to bestankit@gmail.com?,Email
461,When was the last email received from nathan johnson ?,Email
462,When did last time I contact Vinay ?,Email
463,what was the last email from Ankiot,Email
464,what vinay gupta's email address,Email
465,mail from jeswil ?,Email
466,Show me all the email address of Rahul Agrawal,Email
467,What did aaron state in his mail 1 days ago ?,Email
468,When did the first discussion between me and michael start?,Email
469,To whom did I send a copy of the mail about 'patent' ?,Email
470,The conversation about 2020 United states elections was directed towards whom ?,Email
471,What is the gist of the conversation with michael ?,Email
472,Important mails sent to jordan in jan 2013,Email
473,What time did I get the first message from valentina mehra ?,Email
474,How many mails have been exchanged between jason and aaron ?,Email
475,What time did I get the most recent message from John ?,Email
476,What did Jack state in his mail 2 days ago ?,Email
477,What does julia want to tell in his recent mail ?,Email
478,Where can I find oliver walker's mails ?,Email
479,List email sent to HDFC Bank,Email
480,What's susie's message for me the next day ?,Email
481,When did eva and I start the conversation?,Email
482,When did I receive the first mail from john@doe.com ?,Email
483,When did I last get an email from Jack?,Email
484,Who sent the mail about html page design ?],Email
485,What was Sanjay's motto in his first email ?,Email
486,Show me all the conversations regarding Tax deduction discussed in january,Email
487,Show me the important mails regarding overview of product release,Email
488,When did I end the conversation with sophie walker ?,Email
489,What did sophie intend to talk with me ?,Email
490,Whar are the the user specified labels ?,Email
491,When did my thread with Tom end?,Email
492,From whom did I hear today ?,Email
493,Show me emails from deloitte Monday,Email
494,How many mails are scheduled to be sent today ?,Email
495,Show me all the unread messages from john@doe.com,Email
496,Show me the important mails for the previous day,Email
497,What was the last message sent to eric?,Email
498,What was Tom mentioning in our latest conversation?,Email
499,how many emails I received from ankit ?,Email
500,Show me the mails regarding qna standup ?,Email
501,latest email from ankit,Email
502,What was the first mail from vivian johnson?,Email
503,list of all mails from richa >,Email
504,What's nicholas's message for me day after tomorrow ?,Email
505,What does noah say about bonus ?,Email
506,when was the first email received from mithili,Email
507,When was the last time kevin and I had a conversation?,Email
508,What was the last message sent to thomas?,Email
509,When did john ping me for the first time ?,Email
510,does the spam contain any messages from kevin ?,Email
511,when was my last email from amazon?,Email
512,What does valentina want to tell in his recent mail ?,Email
513,When did I recently reach out to ruby johnson ?,Email
514,What's peter's message for me tomorrow ?,Email
515,WWho were involved in the discussion about Kabul University attack ?,Email
516,Show me all the mails sent to jack in september 2005,Email
517,when did i send last message to vikas mandeliya ?,Email
518,When was the first email received from Vinay ?,Email
519,What was the subject of email sent by Vinay yesterday?,Email
520,List email from Brannan,Email
521,When did eric and my thread with end?,Email
522,When was the last time I had a chat with Madhu ?,Email
523,When did I receive the the latest mail from adam@amazon.com ?,Email
524,What did I communicate with julia the day before ?,Email
525,What does christopher want to tell in his recent mail ?,Email
526,When did I last hear from bobby ?,Email
527,Show me all emails where the subject contains scrum,Email
528,When was the last mail received from John doe ?,Email
529,When was the last time benjamin and I had a conversation?,Email
530,list all email from richa ?,Email
531,when was the last email received from richa?,Email
532,When was the last time I had a conversation withh John about patents ?,Email
533,When did the first discussion between me and john start?,Email
534,list of mail from richa ?,Email
535,What is the summary of the conversation with eric ?,Email
536,Who all were on appreciation in the month of aug?,Email
537,What did noah mention in his mail the previous day ?,Email
538,When was my earliest conversation with morgan?,Email
539,"""Who sent the mail regarding EOD - 19th May ? """,Email
540,how many emails from Richa,Email
541,When did jack smith send the latest email?,Email
542,When did Sabin reach me initially ?,Email
543,what is the subject of the latest mail received from Vijay,Email
544,Show me all the discussions about payslip,Email
545,When did Dhiran send the latest email?,Email
546,Show me the email without subject sent on 3th dec.,Email
547,When was the last time I connected to Jack?,Email
548,how many emails i have received from ankit ?,Email
549,What was the message received from james on 04/12/2012,Email
550,When did I first speak to John Doe?,Email
551,Do I have any mails from andrew roberts that are in spam ?,Email
552,List the mails that are marked as starred and important,Email
553,What was the conversation with morgan based on ?,Email
554,When was the last time I connected with thomas?,Email
555,When was the first message about 'bonus' sent to anthony ?,Email
556,When was the first email received from robert brown ?,Email
557,list all mails from jeswil ?,Email
558,When did mitchell and me initially contact each other?,Email
559,What was John's motto in our most recent conversation ?,Email
560,Show me all the emails sent by jason in the month of october,Email
561,Who sent the email about patent ?,Email
562,List emails from Papa,Email
563,Mail with richa.agrawal,Email
564,When did I hear from vivian@broadcom.com initially?,Email
565,What did christopher intend to talk with me ?,Email
566,When was the last time I connected with jacob?,Email
567,Show me all emails where the subject contains business operations.,Email
568,When did kevin send the latest email?,Email
569,what was lat email from ankit ?,Email
570,Show me emails from deloitte on Monday,Email
571,Who all were on soc in the month of november?,Email
572,When did John and I talk in the beginning ?,Email
573,What was the last email from Tickertalk?,Email
574,What are the important mails I received from donald ?,Email
575,What was donald's feedback about payslip ?,Email
576,How many mails have I received from eric@genentech.ai ?,Email
577,When was the first email sent to mitchell ?,Email
578,When did Ankit and i mail for the first time,Email
579,When was the last time I connected to Madhu?,Email
580,How many mails have I received from sophie@amazon.ai ?,Email
581,How many emails do I have from kanika kalia?,Email
582,when was the last mail received from Bryan,Email
583,What was the discussion about Html slider page design ?,Email
584,Show me the mails regarding soc ?,Email
585,Are the mails from John marked as starred ?,Email
586,What did susie's message read ?,Email
587,What are the mails I received between 10th and 15th of November,Email
588,When was the first email sent to noah about rental agreement ?,Email
589,From whom did I receive the message regarding EOD /,Email
590,What did valentina highlight in his last conversation ?,Email
591,What are the labels associated with the mail sent to jacob ?,Email
592,it declaration was mailed by whom ?,Email
593,What did angel convey in his last message ?,Email
594,What was the meeting with robert and jason focused on ?,Email
595,When did I receive the first mail from robert@deloitte.ai ?,Email
596,What was the discussion about rental agreement ?,Email
597,Who all are on scrum today?,Email
598,Who contacted me on 3th october regarding festival ?,Email
599,To whom was the mail regarding offer letter sent ?,Email
600,When did peter smith and I first get in touch?,Email
601,When did joseph and my thread end?,Email
602,When did valentina and I first contact each other?,Email
603,Display the first 5 unread conversations from john@doe.com,Email
604,Who contacted me on 6th April regarding (a topic) ?,Email
605,Who tried to reach me on 10th april ?,Email
606,When was the last time I connected with adam?,Email
607,When did james and my thread begin?,Email
608,What was the message received from becky on 12/9/2013,Email
609,When did I first receive an email from Padam?,Email
610,Display the mails from oliver johnson that do not contain subject,Email
611,list of email lfrom richa ?,Email
612,list of email from richa in novemebr ?,Email
613,When was the time I heard from john@doe.com ?,Email
614,Show me all emails focused on Tax deduction.,Email
615,Under which category are the mails from noah johnson stored ?,Email
616,Show me the important mails regarding payslip release,Email
617,What are the labels associated with the mail sent to jack ?,Email
618,Who were involved in the discussion about Kabul University attack ?,Email
619,When was the first email sent to ruby about qna standup?,Email
620,Which email was sent on 12th October without subject and content?,Email
621,When did the conversation about qna standup end ?,Email
622,When was the last time I had a conversation with shreshta ?,Email
623,When did I receive the the initial mail from vivian@adobe.com ?,Email
624,what is the subject of last email from chaitanya,Email
625,When did I first connect with sophie?,Email
626,when did sabin reach me initially?,Email
627,Show my emails where Lisa was the organized?,Email
628,Show me all the conversations regarding form 16 discussed in march,Email
629,When did the discussion about Genius start ?,Email
630,When did the final discussion between kevin and myself happen ?,Email
631,Who sent a mail about elastic search ?,Email
632,When did the most recent discussion between ruby and me happen ?,Email
633,When did nathan and my thread end?,Email
634,Who sent a message about link ?,Email
635,What did benjamin mention in the last discussion ?,Email
636,From whom did I receive the message regarding EOD ?,Email
637,What idea did thomas mention in our latest conversation?,Email
638,What was the subject of the last discussion with John ?,Email
639,When did I have a chat with Sanjay for the first time ?,Email
640,With whom did I connect to discuss about performance review the previous day?,Email
641,all emails fro richa?,Email
642,When did george and my thread with begin?,Email
643,What was ruby's motto in his last email ?,Email
644,When did I end the conversation with John Doe ?,Email
645,What was the issue mentioned by dylan in the latest discussion?,Email
646,What did angel tell me in his mail the previous day ?,Email
647,When was the first email sent to dylan about soc?,Email
648,What was the subject of email sent to Jack?,Email
649,When was the time I heard from george@tcs.com ?,Email
650,What was the first email received from theodore jones?,Email
651,mails with richa ?,Email
652,What did John intend to talk with Jack and me ?,Email
653,On what date did I send the email regarding festival?,Email
654,Show me all the conversations regarding customer success journey discussed in dec,Email
655,What is subject of last email from Ankit Bhnagr?,Email
656,How many emails have details regarding the offer letter?,Email
657,when did i send last email to richa ?,Email
658,list all emails from Richa,Email
659,Who initiated the conversation regarding overview of product ?,Email
660,Who sent the mail about html page design ?,Email
661,When was my earliest conversation with Bhupendra Gupta ?,Email
662,list all the email from ankit?,Email
663,Who all have a copy of the email sent on 8th of december?,Email
664,When did george and I talk last ?,Email
665,On what day did John and Jack add me to their conversation ?,Email
666,Which email was sent on 04th feb without subject ?,Email
667,How long ago did peter send an email?,Email
668,When did aaron and I have a chat recently ?,Email
669,Who are invited to attend the Testing KT and details session ?,Email
